Original_Name,New_Name,Duplicate,Read_Number,Concentration,Cruise,Use,Sed_or_Mus,Type,Depth_in_Meters,Lake,Month_Collected,Mussel_Classification ,Mass_of_Mussel,Mussel_Density,Sediment_Type,GPS_N _degrees,GPS_N _minutes,GPS_W_degrees,GPS_W_minutes
MBRB1.715,MBR.B1.715,MBR.B.715,9620,14.87,Muskegon,Sample,Sediment,Sediment,16,Muskegon,July,,,,,N/A,N/A,N/A,N/A
MBRB2.715,MBR.B2.715,MBR.B.715,9387,9.8,Muskegon,Sample,Sediment,Sediment,16,Muskegon,July,,,,,N/A,N/A,N/A,N/A
MDPB1.715,MDP.B2.715,MDP.B.715,10071,14.38,Muskegon,Sample,Sediment,Sediment,24,Muskegon,July,,,,,N/A,N/A,N/A,N/A
MDPB2.715,MDP.B1.715,MDP.B.715,9162,8.06,Muskegon,Sample,Sediment,Sediment,24,Muskegon,July,,,,,N/A,N/A,N/A,N/A
MINB1.715,MIN.B1.715,MIN.B.715,8631,6.13,Muskegon,Sample,Sediment,Sediment,8,Muskegon,July,,,,,N/A,N/A,N/A,N/A
MINB2.715,MIN.B2.715,MIN.B.715,10795,7.82,Muskegon,Sample,Sediment,Sediment,8,Muskegon,July,,,,,N/A,N/A,N/A,N/A
MOTB1.715,MOT.B1.715,MOT.B.715,7103,2.67,Muskegon,Sample,Sediment,Sediment,11,Muskegon,July,,,,,,,,
MOTB2.715,MOT.B2.715,MOT.B.715,7095,3.27,Muskegon,Sample,Sediment,Sediment,11,Muskegon,July,,,,,,,,
MBRB1.515,MBR.B1.515,MBR.B.515,7561,24.06,Muskegon,Sample,Sediment,Sediment,16,Muskegon,May,,,,,,,,
MBRB2.515,MBR.B2.515,MBR.B.515,10344,15.87,Muskegon,Sample,Sediment,Sediment,16,Muskegon,May,,,,,N/A,N/A,N/A,N/A
MDPB1.515,MDP.B1.515,MDP.B.515,9266,10.45,Muskegon,Sample,Sediment,Sediment,24,Muskegon,May,,,,,N/A,N/A,N/A,N/A
MDPB2.515,MDP.B2.515,MDP.B.515,8929,14.33,Muskegon,Sample,Sediment,Sediment,24,Muskegon,May,,,,,N/A,N/A,N/A,N/A
MINB1.515,MIN.B1.515,MIN.B.515,11776,16.85,Muskegon,Sample,Sediment,Sediment,8,Muskegon,May,,,,,N/A,N/A,N/A,N/A
MINB2.515,MIN.B2.515,MIN.B.515,9122,15.14,Muskegon,Sample,Sediment,Sediment,8,Muskegon,May,,,,,N/A,N/A,N/A,N/A
MOTB1.515,MOT.B1.515,MOT.B.515,8438,2.86,Muskegon,Sample,Sediment,Sediment,11,Muskegon,May,,,,,N/A,N/A,N/A,N/A
MOTB2.515,MOT.B2.515,MOT.B.515,7722,3.38,Muskegon,Sample,Sediment,Sediment,11,Muskegon,May,,,,,,,,
MDPB1.S915,MDP.B1.915,MDP.B.915,9226,7.46,Muskegon,Sample,Sediment,Sediment,24,Muskegon,September,,,,,N/A,N/A,N/A,N/A
MDPB2.S915,MDP.B2.915,MDP.B.915,10063,8.54,Muskegon,Sample,Sediment,Sediment,24,Muskegon,September,,,,,N/A,N/A,N/A,N/A
MINB1.S915,MIN.B1.915,MIN.B.915,10175,13.86,Muskegon,Sample,Sediment,Sediment,8,Muskegon,September,,,,,N/A,N/A,N/A,N/A
MINB2.S915,MIN.B2.915,MIN.B.915,11141,9.61,Muskegon,Sample,Sediment,Sediment,8,Muskegon,September,,,,,N/A,N/A,N/A,N/A
MOTB1.S915,MOT.B1.915,MOT.B.915,7682,2.59,Muskegon,Sample,Sediment,Sediment,11,Muskegon,September,,,,,,,,
MOTB2.S915,MOT.B2.915,MOT.B.915,7617,2.31,Muskegon,Sample,Sediment,Sediment,11,Muskegon,September,,,,,,,,
MBRB1.S915,MBR.B1.915,MBR.B.915,8374,9.51,Muskegon,Sample,Sediment,Sediment,16,Muskegon,September,,,,,N/A,N/A,N/A,N/A
MBRB2.S915,MBR.B2.915,MBR.B.915,8253,11.23,Muskegon,Sample,Sediment,Sediment,16,Muskegon,September,,,,,N/A,N/A,N/A,N/A
LM15.S01,L01.B3.715,L01.B.715,7191,4.08,Survey,Sample,Sediment,Sediment,45,Michigan,July,,,Many,sandy silt,43,50.083,-86,60.367
LM15.S02,L01.B2.715,L01.B.715,8655,7.46,Survey,Sample,Sediment,Sediment,45,Michigan,July,,,Many,sandy silt,43,50.083,-86,60.367
LM15.S03,L01.B1.715,L01.B.715,8269,5.77,Survey,Sample,Sediment,Sediment,45,Michigan,July,,,Many,sandy silt,43,50.083,-86,60.367
LM15.S04,L02.B3.715,L02.B.715,7811,12.13,Survey,Sample,Sediment,Sediment,45,Michigan,July,,,Moderate,silty sand,44,41.3,-86,28.633
LM15.S05,L02.B2.715,L02.B.715,7239,7.78,Survey,Sample,Sediment,Sediment,45,Michigan,July,,,Moderate,silty sand,44,41.3,-86,28.633
LM15.S06,L02.B1.715,L02.B.715,7794,10.02,Survey,Sample,Sediment,Sediment,45,Michigan,July,,,Moderate,silty sand,44,41.3,-86,28.633
LM15.S07,L03.B3.715,L03.B.715,7963,7.99,Survey,Sample,Sediment,Sediment,45,Michigan,July,,,Moderate-high,silty sand,45,24.2,-85,55.6
